"","SA","cancer","type"
"8399c064-fa69-4044-b7e5-7effc8daeae0",0.0194153080400801,"BLCA","tumor"
"0cce788f-74e5-4562-82ea-eb39912298e4",0.322164950525734,"BLCA","tumor"
"441495a8-8efe-4259-8275-4061546e08e8",0.375347792424994,"BLCA","tumor"
"dbde74d6-0b4b-4bd2-9944-48afea1410f1",0.111282595579685,"BLCA","tumor"
"dd99aa8f-4f88-4ff4-8b60-b00cccea28fa",0.116181527606357,"BLCA","tumor"
"0ff482c4-3e0b-4c3d-b35d-68bad6ee4dfc",0.254692949134491,"BLCA","tumor"
"6c8fcd10-3ad0-4b68-bc4b-ff47a3ad62ff",0.35862501619586,"BLCA","tumor"
"c2b09a25-d021-4c93-aa1b-240d41b96b01",0.0437735590750568,"BLCA","tumor"
"0842e242-d75e-427c-a2c1-6b3310a83a04",0.0855573166438033,"BLCA","tumor"
"4bca5e18-8f14-4fce-8199-23f44d5a3509",0.026470745659188,"BLCA","tumor"
"ef73b80f-03ee-40c8-a1a4-cfb4d5062611",0.0743466295248167,"BLCA","tumor"
"57373041-9d22-4db1-aa56-97733339391b",0.0362491298473776,"BLCA","tumor"
"197e34ca-ef43-495c-8aa4-858982333429",0.110513312622136,"BLCA","tumor"
"faa38111-f046-4acd-b787-764a17eaf548",0.048354748795137,"BLCA","tumor"
"447e601e-c0bf-4b00-baf5-9ed4feb56057",0.0511249533315442,"BLCA","tumor"
"ca728ff8-d96f-4230-8518-f94b4c4fd460",0.339753438009877,"BLCA","tumor"
"2f3fd524-6f59-46c0-99fa-6caa0c423061",0.0696554313202255,"BLCA","tumor"
"5b787ac9-60bd-4c0a-83e8-a8fe10381069",0.0683430542359436,"BLCA","tumor"
"10974801-c0a4-4d01-8e2f-f82490b6aa72",0.0147852892760847,"BLCA","tumor"
"57c51f55-9f3a-44f0-99db-ee3557c04373",0.0714444903362998,"BLCA","tumor"
"6b75e046-9f34-49d2-976e-b58cc2e09577",0.0296480718843616,"BLCA","tumor"
"396d23d5-7d2e-484c-a0e9-1b97d1d27e77",0.372472069343135,"BLCA","tumor"
"79bdca7c-dab8-455e-812a-a08265753d7a",0.030734316633591,"BLCA","tumor"
"1b2e1531-7c1f-4baf-bc45-42425b7b8891",0.360967404543981,"BLCA","tumor"
"c65b6272-dd2b-4075-963b-746f8904b395",0.0138333390437948,"BLCA","tumor"
"6b472ceb-9189-4605-b1b6-27f477720a9d",0.0350225374931351,"BLCA","tumor"
"1ff8e3dd-9e9d-4e23-882e-ea767e9f93a2",0.0611997007443897,"BLCA","tumor"
"dd23b50f-4f48-47d3-96be-237b33e2f7b0",0.061556404804547,"BLCA","tumor"
"32fc134e-6424-4517-9b0c-b2e487542ec3",0.0883178048244427,"BLCA","tumor"
"83cafa8c-e9dd-47e7-aab3-ea054d15cfd6",0.128850893454428,"BLCA","tumor"
"2c26486a-a737-4b2f-9d98-28a700081cda",0.111508725137092,"BLCA","tumor"
"2f9b6806-bff2-45d9-95ed-44e5352f17e2",0.0174116842246579,"BLCA","tumor"
"1cb463c0-c33a-4fc6-9f8d-d8a48cf2c600",0.333337230957523,"BLCA","tumor"
"333f9855-9462-46b8-87c8-e9b01572c101",0.0193476364497707,"BLCA","tumor"
"b0245553-f100-4235-bfc2-ab908c42e401",0.015247230987975,"BLCA","tumor"
